row_number,time_window,old_order_zone,new_source_row_zone,output_zone,old_a_vessel_count,new_a_vessel_count,output_vessel_count,new_a_original_row_number,zone_position_changed,value_matches_new_a,output_order_matches_old_a
355,1/29/2018 22:00,外围区,核心区,外围区,1,1,1,357,True,True,True
356,1/29/2018 22:00,核心区,近港区,核心区,5,7,7,355,True,True,True
357,1/29/2018 22:00,近港区,外围区,近港区,3,3,3,356,True,True,True
358,1/29/2018 23:00,外围区,核心区,外围区,1,1,1,360,True,True,True
359,1/29/2018 23:00,核心区,近港区,核心区,7,10,10,358,True,True,True
360,1/29/2018 23:00,近港区,外围区,近港区,4,6,6,359,True,True,True
361,1/30/2018 0:00,外围区,核心区,外围区,1,1,1,363,True,True,True
362,1/30/2018 0:00,核心区,近港区,核心区,5,6,6,361,True,True,True
363,1/30/2018 0:00,近港区,外围区,近港区,2,4,4,362,True,True,True
364,1/30/2018 1:00,外围区,核心区,外围区,1,1,1,366,True,True,True
365,1/30/2018 1:00,核心区,近港区,核心区,2,2,2,364,True,True,True
366,1/30/2018 1:00,近港区,外围区,近港区,1,1,1,365,True,True,True
367,1/30/2018 2:00,外围区,核心区,外围区,1,1,1,369,True,True,True
368,1/30/2018 2:00,核心区,近港区,核心区,4,5,5,367,True,True,True
369,1/30/2018 2:00,近港区,外围区,近港区,2,2,2,368,True,True,True
370,1/30/2018 3:00,外围区,核心区,外围区,1,1,1,372,True,True,True
371,1/30/2018 3:00,核心区,近港区,核心区,8,9,9,370,True,True,True
372,1/30/2018 3:00,近港区,外围区,近港区,3,4,4,371,True,True,True
373,1/30/2018 4:00,外围区,核心区,外围区,1,2,2,375,True,True,True
374,1/30/2018 4:00,核心区,近港区,核心区,5,6,6,373,True,True,True
375,1/30/2018 4:00,近港区,外围区,近港区,2,2,2,374,True,True,True
376,1/30/2018 5:00,外围区,核心区,外围区,2,2,2,378,True,True,True
377,1/30/2018 5:00,核心区,近港区,核心区,2,3,3,376,True,True,True
378,1/30/2018 5:00,近港区,外围区,近港区,1,2,2,377,True,True,True
379,1/30/2018 6:00,外围区,核心区,外围区,1,1,1,381,True,True,True
380,1/30/2018 6:00,核心区,近港区,核心区,6,8,8,379,True,True,True
381,1/30/2018 6:00,近港区,外围区,近港区,3,4,4,380,True,True,True
382,1/30/2018 7:00,外围区,核心区,外围区,2,2,2,384,True,True,True
383,1/30/2018 7:00,核心区,近港区,核心区,7,9,9,382,True,True,True
384,1/30/2018 7:00,近港区,外围区,近港区,5,6,6,383,True,True,True
385,1/30/2018 8:00,外围区,核心区,外围区,2,2,2,387,True,True,True
386,1/30/2018 8:00,核心区,近港区,核心区,5,6,6,385,True,True,True
387,1/30/2018 8:00,近港区,外围区,近港区,5,5,5,386,True,True,True
388,1/30/2018 9:00,外围区,核心区,外围区,3,3,3,390,True,True,True
389,1/30/2018 9:00,核心区,近港区,核心区,3,4,4,388,True,True,True
390,1/30/2018 9:00,近港区,外围区,近港区,3,3,3,389,True,True,True
391,1/30/2018 10:00,外围区,核心区,外围区,3,3,3,393,True,True,True
392,1/30/2018 10:00,核心区,近港区,核心区,7,8,8,391,True,True,True
393,1/30/2018 10:00,近港区,外围区,近港区,5,6,6,392,True,True,True
394,1/30/2018 11:00,外围区,核心区,外围区,2,3,3,396,True,True,True
395,1/30/2018 11:00,核心区,近港区,核心区,7,10,10,394,True,True,True
396,1/30/2018 11:00,近港区,外围区,近港区,6,7,7,395,True,True,True
397,1/30/2018 12:00,外围区,核心区,外围区,3,3,3,399,True,True,True
398,1/30/2018 12:00,核心区,近港区,核心区,6,8,8,397,True,True,True
399,1/30/2018 12:00,近港区,外围区,近港区,4,5,5,398,True,True,True
400,1/30/2018 13:00,外围区,核心区,外围区,3,4,4,402,True,True,True
401,1/30/2018 13:00,核心区,近港区,核心区,4,5,5,400,True,True,True
402,1/30/2018 13:00,近港区,外围区,近港区,3,4,4,401,True,True,True
403,1/30/2018 14:00,外围区,核心区,外围区,2,2,2,405,True,True,True
404,1/30/2018 14:00,核心区,近港区,核心区,6,7,7,403,True,True,True
405,1/30/2018 14:00,近港区,外围区,近港区,4,5,5,404,True,True,True
406,1/30/2018 15:00,外围区,核心区,外围区,2,2,2,408,True,True,True
407,1/30/2018 15:00,核心区,近港区,核心区,7,10,10,406,True,True,True
408,1/30/2018 15:00,近港区,外围区,近港区,6,8,8,407,True,True,True
409,1/30/2018 16:00,外围区,核心区,外围区,2,2,2,411,True,True,True
410,1/30/2018 16:00,核心区,近港区,核心区,6,7,7,409,True,True,True
411,1/30/2018 16:00,近港区,外围区,近港区,4,5,5,410,True,True,True
412,1/30/2018 17:00,外围区,核心区,外围区,2,2,2,414,True,True,True
413,1/30/2018 17:00,核心区,近港区,核心区,4,5,5,412,True,True,True
414,1/30/2018 17:00,近港区,外围区,近港区,2,3,3,413,True,True,True
415,1/30/2018 18:00,外围区,核心区,外围区,1,2,2,417,True,True,True
416,1/30/2018 18:00,核心区,近港区,核心区,7,8,8,415,True,True,True
417,1/30/2018 18:00,近港区,外围区,近港区,4,5,5,416,True,True,True
418,1/30/2018 19:00,外围区,核心区,外围区,1,1,1,420,True,True,True
419,1/30/2018 19:00,核心区,近港区,核心区,9,12,12,418,True,True,True
420,1/30/2018 19:00,近港区,外围区,近港区,7,9,9,419,True,True,True
421,1/30/2018 20:00,外围区,核心区,外围区,2,2,2,423,True,True,True
422,1/30/2018 20:00,核心区,近港区,核心区,6,8,8,421,True,True,True
423,1/30/2018 20:00,近港区,外围区,近港区,4,6,6,422,True,True,True
424,1/30/2018 21:00,外围区,核心区,外围区,2,3,3,426,True,True,True
425,1/30/2018 21:00,核心区,近港区,核心区,3,4,4,424,True,True,True
426,1/30/2018 21:00,近港区,外围区,近港区,2,2,2,425,True,True,True
427,1/30/2018 22:00,外围区,核心区,外围区,1,1,1,429,True,True,True
428,1/30/2018 22:00,核心区,近港区,核心区,5,7,7,427,True,True,True
429,1/30/2018 22:00,近港区,外围区,近港区,3,3,3,428,True,True,True
430,1/30/2018 23:00,外围区,核心区,外围区,1,1,1,432,True,True,True
431,1/30/2018 23:00,核心区,近港区,核心区,7,10,10,430,True,True,True
432,1/30/2018 23:00,近港区,外围区,近港区,4,6,6,431,True,True,True
433,1/31/2018 0:00,外围区,核心区,外围区,1,1,1,435,True,True,True
434,1/31/2018 0:00,核心区,近港区,核心区,5,6,6,433,True,True,True
435,1/31/2018 0:00,近港区,外围区,近港区,2,4,4,434,True,True,True
436,1/31/2018 1:00,外围区,核心区,外围区,1,1,1,438,True,True,True
437,1/31/2018 1:00,核心区,近港区,核心区,2,2,2,436,True,True,True
438,1/31/2018 1:00,近港区,外围区,近港区,1,1,1,437,True,True,True
439,1/31/2018 2:00,外围区,核心区,外围区,1,1,1,441,True,True,True
440,1/31/2018 2:00,核心区,近港区,核心区,4,5,5,439,True,True,True
441,1/31/2018 2:00,近港区,外围区,近港区,2,2,2,440,True,True,True
442,1/31/2018 3:00,外围区,核心区,外围区,1,1,1,444,True,True,True
443,1/31/2018 3:00,核心区,近港区,核心区,7,9,9,442,True,True,True
444,1/31/2018 3:00,近港区,外围区,近港区,3,4,4,443,True,True,True
445,1/31/2018 4:00,外围区,核心区,外围区,1,2,2,447,True,True,True
446,1/31/2018 4:00,核心区,近港区,核心区,5,6,6,445,True,True,True
447,1/31/2018 4:00,近港区,外围区,近港区,2,2,2,446,True,True,True
448,1/31/2018 5:00,外围区,核心区,外围区,2,2,2,450,True,True,True
449,1/31/2018 5:00,核心区,近港区,核心区,2,3,3,448,True,True,True
450,1/31/2018 5:00,近港区,外围区,近港区,1,2,2,449,True,True,True
451,1/31/2018 6:00,外围区,核心区,外围区,1,1,1,453,True,True,True
452,1/31/2018 6:00,核心区,近港区,核心区,6,8,8,451,True,True,True
453,1/31/2018 6:00,近港区,外围区,近港区,3,4,4,452,True,True,True
454,1/31/2018 7:00,外围区,核心区,外围区,2,2,2,456,True,True,True
455,1/31/2018 7:00,核心区,近港区,核心区,7,9,9,454,True,True,True
456,1/31/2018 7:00,近港区,外围区,近港区,5,6,6,455,True,True,True
457,1/31/2018 8:00,外围区,核心区,外围区,2,2,2,459,True,True,True
458,1/31/2018 8:00,核心区,近港区,核心区,5,6,6,457,True,True,True
459,1/31/2018 8:00,近港区,外围区,近港区,4,5,5,458,True,True,True
460,1/31/2018 9:00,外围区,核心区,外围区,3,3,3,462,True,True,True
461,1/31/2018 9:00,核心区,近港区,核心区,3,4,4,460,True,True,True
462,1/31/2018 9:00,近港区,外围区,近港区,3,3,3,461,True,True,True
463,1/31/2018 10:00,外围区,核心区,外围区,2,3,3,465,True,True,True
464,1/31/2018 10:00,核心区,近港区,核心区,6,8,8,463,True,True,True
465,1/31/2018 10:00,近港区,外围区,近港区,5,6,6,464,True,True,True
466,1/31/2018 11:00,外围区,核心区,外围区,2,3,3,468,True,True,True
467,1/31/2018 11:00,核心区,近港区,核心区,7,10,10,466,True,True,True
468,1/31/2018 11:00,近港区,外围区,近港区,6,7,7,467,True,True,True
469,1/31/2018 12:00,外围区,核心区,外围区,3,3,3,471,True,True,True
470,1/31/2018 12:00,核心区,近港区,核心区,6,8,8,469,True,True,True
471,1/31/2018 12:00,近港区,外围区,近港区,4,5,5,470,True,True,True
472,1/31/2018 13:00,外围区,核心区,外围区,2,4,4,474,True,True,True
473,1/31/2018 13:00,核心区,近港区,核心区,4,5,5,472,True,True,True
474,1/31/2018 13:00,近港区,外围区,近港区,3,4,4,473,True,True,True
475,1/31/2018 14:00,外围区,核心区,外围区,2,2,2,477,True,True,True
476,1/31/2018 14:00,核心区,近港区,核心区,6,7,7,475,True,True,True
477,1/31/2018 14:00,近港区,外围区,近港区,4,5,5,476,True,True,True
478,1/31/2018 15:00,外围区,核心区,外围区,2,2,2,480,True,True,True
479,1/31/2018 15:00,核心区,近港区,核心区,6,10,10,478,True,True,True
480,1/31/2018 15:00,近港区,外围区,近港区,6,8,8,479,True,True,True
481,1/31/2018 16:00,外围区,核心区,外围区,2,2,2,483,True,True,True
482,1/31/2018 16:00,核心区,近港区,核心区,6,7,7,481,True,True,True
483,1/31/2018 16:00,近港区,外围区,近港区,4,5,5,482,True,True,True
484,1/31/2018 17:00,外围区,核心区,外围区,2,2,2,486,True,True,True
485,1/31/2018 17:00,核心区,近港区,核心区,4,5,5,484,True,True,True
486,1/31/2018 17:00,近港区,外围区,近港区,2,3,3,485,True,True,True
487,1/31/2018 18:00,外围区,核心区,外围区,1,2,2,489,True,True,True
488,1/31/2018 18:00,核心区,近港区,核心区,6,8,8,487,True,True,True
489,1/31/2018 18:00,近港区,外围区,近港区,4,5,5,488,True,True,True
490,1/31/2018 19:00,外围区,核心区,外围区,1,1,1,492,True,True,True
491,1/31/2018 19:00,核心区,近港区,核心区,8,12,12,490,True,True,True
492,1/31/2018 19:00,近港区,外围区,近港区,6,9,9,491,True,True,True
493,1/31/2018 20:00,外围区,核心区,外围区,2,2,2,495,True,True,True
494,1/31/2018 20:00,核心区,近港区,核心区,5,8,8,493,True,True,True
495,1/31/2018 20:00,近港区,外围区,近港区,4,6,6,494,True,True,True
496,1/31/2018 21:00,外围区,核心区,外围区,2,3,3,498,True,True,True
497,1/31/2018 21:00,核心区,近港区,核心区,3,4,4,496,True,True,True
498,1/31/2018 21:00,近港区,外围区,近港区,2,2,2,497,True,True,True
499,1/31/2018 22:00,外围区,核心区,外围区,1,1,1,501,True,True,True
500,1/31/2018 22:00,核心区,近港区,核心区,5,7,7,499,True,True,True
501,1/31/2018 22:00,近港区,外围区,近港区,3,3,3,500,True,True,True
502,1/31/2018 23:00,外围区,核心区,外围区,1,1,1,504,True,True,True
503,1/31/2018 23:00,核心区,近港区,核心区,6,10,10,502,True,True,True
504,1/31/2018 23:00,近港区,外围区,近港区,4,6,6,503,True,True,True
